priority,id,title,category,current_problem,proposal,expected_gain,risk,owner_suggestion,verification_metric,evidence_refs,status
"P0","F4-AUD-001","Manifest append-only chain hardening","evidence-ledger","Manifest uses upsert overwrite semantics, so ledger is not fully append-only.","Introduce evidence-manifest/2.0 append log with sequence+prev_hash and fail-closed chain verification at read time.","Tamper-evidence and forensic traceability become auditable end-to-end.","Migration complexity for old manifests.","Session/Evidence maintainer","manifest_chain_break_count=0;event_append_integrity_fail=0","packages/opencode/src/evidence/writer.ts:392;packages/opencode/src/evidence/events.ts:257;E6","proposed"
"P0","F4-AUD-002","Durable progress monotonicity","orchestrator-reliability","Cycle/stop/degraded state is in-memory Map/Set and can reset after restart.","Persist progress-ledger with CAS semantics keyed by session+message and restore on process boot.","Deterministic rerun and hard-stop continuity across restarts and multi-instance runs.","Potential contention under high concurrency if CAS poorly designed.","Session/Orchestrator maintainer","cycle_regression_count=0;stop_state_loss_count=0","packages/opencode/src/session/orchestrator/writer.ts:50;packages/opencode/src/session/orchestrator/writer.ts:163;E8","proposed"
"P1","F4-AUD-003","Bind verification with real contextPackId","resume-checkpoint","secure-output verification task frame uses contextPackId=unknown.","Thread lastContextPackId from ContextLedger into runVerification taskFrame and block when unknown in strict mode.","Audit chain continuity and deterministic replay confidence improve materially.","Minor plumbing changes across session to secure-output boundaries.","Secure-output maintainer","secure_output_unknown_context_pack_ratio=0","packages/opencode/src/secure-output/worker.ts:663;packages/opencode/src/session/context-ledger.ts:33;packages/opencode/src/session/llm.ts:748;E8","proposed"
"P1","F4-AUD-004","DeepSeek sampling profile governance","deepseek-fit","DeepSeek reasoning sanitization exists but temperature/top_p policy is not explicitly profiled.","Add provider/model+intent profiles (strict/light) for temperature/top_p/max_tokens with config override and event observability.","Lower schema drift and better long-session stability for DeepSeek workloads.","Over-tuning may reduce creativity in non-strict tasks.","Provider maintainer + Applied reliability","worker_schema_degraded_rate<=1%;reference_check_failed_rate<=1%","packages/opencode/src/provider/transform.ts:50;packages/opencode/src/provider/transform.ts:305;E1;E2;E3","proposed"
"P1","F4-AUD-005","Make v16 deepseek thinking behaviorally effective","orchestrator-rollout","v16DeepseekThinking is resolved in rollout but lacks explicit behavior-level strategy branches and outcome metrics.","Implement concrete branches gated by v16DeepseekThinking and emit per-branch outcome events for A/B verification.","Transforms rollout flag from metadata to measurable product impact.","Branch explosion if not constrained to key decision points.","Session/Orchestrator maintainer","deepseek_thinking_branch_hit_rate tracked;branch_delta_quality positive","packages/opencode/src/session/processor.ts:337;packages/opencode/src/session/processor.ts:687;packages/opencode/src/session/processor.ts:697;E1","proposed"
"P1","F4-AUD-006","Reference gate default-surface tightening","reference-integrity","Strict fail-closed is strong but primarily intent-gated and not fully default for ambiguous evidence-heavy tasks.","Promote strict mode for high-risk categories and add confidence-based escalation from light to strict.","Reduces hallucinated citations in mixed-intent long sessions.","Possible increase in conservative fallbacks (unknown/evidence_insufficient).","Secure-output + Intent classification owner","strict_escalation_precision>=95%;false_positive_fallback_rate<=3%","packages/opencode/src/session/secure-output-contract.ts:76;packages/opencode/src/session/reference-check.ts:218;packages/opencode/src/session/processor.ts:749;E6","proposed"
"P1","F4-AUD-007","Cross-module probe correlation","delta-probes","Retrieval probe journal and compaction delta both exist but cross-module correlation IDs are limited.","Add unified probe_correlation_id across retrieval/compaction/secure-output events and artifacts.","Faster root-cause isolation for drift and replay incidents.","Schema bump and dashboard update effort.","Observability owner","correlated_probe_coverage>=95%","packages/opencode/src/retrieval/runner.ts:932;packages/opencode/src/session/compaction.ts:649;packages/opencode/src/secure-output/worker.ts:689","proposed"
"P2","F4-AUD-008","Compaction consistency metrics","compaction-quality","Current quality metrics focus on semantic coverage and known/unknown counts, not contradiction consistency.","Extend compaction.quality with contradiction_rate and anchor_consistency_score validated against reference-check outcomes.","Improves long-horizon summary trustworthiness beyond coverage-only metrics.","Metric design may require iterative calibration.","Session/Compaction maintainer","contradiction_rate tracked and trending down;anchor_consistency_score>=0.95","packages/opencode/src/session/compaction.ts:630;packages/opencode/src/session/compaction.ts:681;E7","proposed"
"P2","F4-AUD-009","Long-session restart soak suite","verification","Most current evidence is targeted unit/scenario tests; restart+multi-hour soak evidence is limited.","Add nightly soak tests covering restart resume monotonicity, strict reference gate, and assisted compaction guardrails.","Raises confidence for production long-session stability claims.","Longer CI duration and flakiness management needed.","QA/Infra + Session maintainer","nightly_soak_pass_rate>=99%;restart_resume_regression=0","packages/opencode/test/session/compaction-structured.test.ts:185;packages/opencode/test/session/context-pack-determinism.test.ts:189;E8","proposed"
"P2","F4-AUD-010","Unified GO evidence pack automation","release-governance","Specialized reports exist but no single automated final gate package for release decision.","Generate one consolidated GO pack with P0/P1 metrics, replay traces, and external mapping checklist.","Faster and less subjective release decisioning.","Initial automation setup cost.","Release engineering owner","go_pack_generated=1;mandatory_metrics_all_green=1","docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-06/f4-hq/f4-hq-artifact-audit-report.md:155;docs/plans/evidence/2026-02-10-v1_6-blocking/card-blk-06/f4-hq/p4b-compaction-llm-augment-replay-report.md:58","proposed"
